Key,AtlasText_english.json,AtlasText_polish.json
text_anchor,left,left
display_language,English,Polski
brain_regions,Brain Regions,Pasek z ośrodkami mózgu
brain_functions,Brain Functions,Pasek funkcji
visual_perception_title,Vision,Wzrok
visual_perception_body,"The first areas to receive information from the eyes process basic characteristics such as the orientation of the objects we see. More advanced areas process color and motion, and interpret exactly what we are seeing and how this information can be used.","Ośrodki odbierające informacje z oczu jako pierwsze przetwarzają podstawowe dane o właściwościach widzianych obiektów. Bardziej zaawansowane ośrodki przetwarzają informacje o kolorze i ruchu oraz interpretują, co dokładnie widzimy i jak możemy wykorzystać tę informację."
auditory_perception_title,Hearing,Słuch
auditory_perception_body,"When we process the sound waves that reach the brain from the ear we understand the sound’s basic characteristics such as frequency and strength. Moreover, we process also more advanced aspects such as location in the sphere in which we heard it, and its meaning: Is someone speaking to me? Is it music?","Gdy przetwarzamy informacje zawarte w falach dźwiękowych docierających do mózgu z uszu, identyfikujemy podstawowe ich cechy, takie jak częstotliwość i natężenie. Potem przetwarzamy bardziej zaawansowane aspekty, takie jak źródło i sens: Czy ktoś do mnie mówi? Czy to muzyka?"
somatosensory_perception_title,Touch,Dotyk
somatosensory_perception_body,"All our tactile receptors – vibration, pain, temperature sensing, and even self-sensing (knowing where my hands are without looking) – reach the brain from receptors spread throughout the body.","Wszystkie wrażenia dotykowe – wibracja, ból, temperatura, a nawet „samoczucie” (umiejętność określenia położenia ręki bez patrzenia na nią) – docierają do mózgu z receptorów rozsianych po całym ciele."
taste_perception_title,Taste,Smak
taste_perception_body,"Our tongue can differentiate between five tastes: sweet, salty, sour, bitter, and umami, as well as the extent of spiciness. The remaining perception of taste is determined by the sense of smell (which is why food doesn’t taste as good when your nose is stuffed). This information is transmitted to the brain which processes the taste’s meaning. Different areas of the brain are activated in response to pleasant or unpleasant tastes.","Nasz język rozróżnia pięć smaków (słodki, słony, kwaśny, gorzki i umami, czyli smak kwasu glutaminowego) oraz poziom pikantności. O reszcie wrażeń smakowych decyduje zmysł węchu (to dlatego nie jesteśmy w stanie docenić pełni smaku, gdy mamy zatkany nos). Informacje te przekazywane są do mózgu, który nadaje sens danemu smakowi. Różne smaki aktywują różne ośrodki w mózgu, zależnie od tego, czy są przyjemne, czy nieprzyjemne."
olfactory_perception_title,Smell,Węch
olfactory_perception_body,"The nose contains over one thousand (!) different types of receptors, discerning the different molecules that enter it. This information is transferred to the brain which generates the perception and significance of the smell. For example, different areas are activated in response to pleasant or unpleasant smells.","Znajdujące się w nosie receptory dzielą się na ponad tysiąc (!) rodzajów, rozpoznających różne cząsteczki, które się do niego dostają. Informacje te przekazywane są do mózgu, który rozpoznaje zapach i nadaje mu sens. Różne zapachy uaktywniają różne ośrodki w mózgu, zależnie od tego, czy są przyjemne, czy nieprzyjemne."
motion_title,Movement,Ruch
motion_body,"When you raise your hand, it's the brain that sends a command to your hand to move. Every movement involves many areas of the brain in planning, precision, timing, and the ability to carry out the correct movement for each purpose, even without paying much attention to it.","Gdy podnosimy rękę, to właśnie mózg wysyła jej polecenie, by wykonała ruch. Każdy ruch angażuje wiele ośrodków w mózgu w procesach takich jak planowanie, precyzja, synchronizacja i dostosowanie ruchu do określonego celu. Procesy te nie wymagają nawet od nas szczególnej uwagi."
language_title,Language,Mowa
language_body,"Language is the primary way we communicate with each other. For most of us, the language areas lie mainly on the left side of the brain. Certain areas are responsible for language comprehension, and language production and understanding syntax.","Mowa jest dla nas podstawowym sposobem komunikowania się. U większości ludzi ośrodki mowy znajdują się głównie po lewej stronie mózgu. Określone obszary mózgu odpowiadają za rozumienie mowy, artykulację i interpretację składni."
emotions_title,Emotions,Emocje
emotions_body,"We still don’t fully understand how emotions are reflected in the brain. However, quite a few areas in the brain have been found to be important for processing emotions. Studying these areas helps piece the puzzle together.","Wciąż jeszcze do końca nie wiemy, co dzieje się w mózgu, gdy odczuwamy określone emocje. Zidentyfikowano jednak sporo ośrodków mózgowych, które odpowiadają za ich przetwarzanie. Studiując te obszary, powoli zbliżamy się do rozwiązania zagadki."
consolidation_of_new_memories_title,Consolidation of New Memories,Utrwalanie nowych wspomnień
consolidation_of_new_memories_body,"We are constantly exposed to a lot of information, but we forget most of it quickly and retain only a small amount. The brain, especially the Hippocampus, decides whether each new item is important and should be retained in the memory, or whether it can be forgotten.","Nieustannie dociera do nas mnóstwo informacji, z których większość szybko zapominamy, zachowując tylko niewielką ich część. Mózg, a szczególnie hipokamp, decyduje o tym, która nowa informacja jest ważna i powinna zostać zachowana w pamięci, a która może być zapomniana."
working_memory_title,Working Memory,Pamięć robocza
working_memory_body,"This used to be called ‘short term memory’. It contains all the memories we need to carry out the tasks we are currently engaged in, a little like a desk on which we are doing homework. Just like the desk, the working memory has limited space therefore it will only retain the information that is important right now.","Kiedyś nazywano ją „pamięcią krótkotrwałą”. Zawiera wszelkie informacje, jakich potrzebujemy, by wykonać aktualnie absorbujące nas zadania. Można porównać ją do biurka, przy którym odrabiamy lekcje. Podobnie jak nasze biurko, pamięć robocza ma ograniczoną przestrzeń i może przechowywać wyłączne informacje potrzebne nam w danej chwili. "
orientation_title,Orientation,Orientacja
orientation_body,"Thanks to the brain we have a pretty good understanding of where we are, what is closer to us and what is more distant, and how to get from place to place. In the Hippocampus there are cells that code the location we are in at any given moment, and it’s possible that they help us orient ourselves.","Dzięki mózgowi całkiem nieźle orientujemy się w tym, gdzie aktualnie jesteśmy, co jest bliżej nas, a co dalej, a także jak dotrzeć z punktu A do punktu B. W hipokampie znajdują się komórki, które kodują naszą aktualną pozycję, co prawdopodobnie pomaga nam orientować się w przestrzeni."
hunger_and_satiety_title,Hunger and Satiety,Głód i sytość
hunger_and_satiety_body,"The nuclei of hunger and satiety in the Hypothalamus receive information from the digestive system and from many areas in the brain about our current condition, and they decide whether to generate the feeling of hunger or the feeling of satiety.","Jądra głodu i sytości w hipokampie odbierają z układu pokarmowego i wielu ośrodków w mózgu informacje na temat naszego aktualnego stanu i decydują o tym, czy generować uczucie głodu, czy sytości."
circadian_clocks_title,Circadian Rhythm,Rytm okołodobowy
circadian_clocks_body,"Our circadian clock is located in the Hypothalamus and helps us determine if it is day or night, even  without knowing if the sun is shining or not. The clock can be reset with sunlight – that is how we become accustomed to the new schedule set by the sun when we fly to another country.","Nasz zegar biologiczny ulokowany jest w podwzgórzu i pomaga nam ustalić, czy jest dzień, czy noc, nawet bez sprawdzania, czy wzeszło słońce. Zegar ten reguluje się za pomocą światła słonecznego – to właśnie w ten sposób przestawiamy się na nowy, wyznaczany przez słońce rytm, gdy podróżujemy do innych krajów."
breath_and_heartbeat_regulation_title,Breathing and Heartbeat Regulation,Regulacja oddechu i tętna
breath_and_heartbeat_regulation_body,"Our heart and lungs don’t work randomly. They are regulated by the Brain Stem, which slows or speeds their actions as necessary. For instance, when we run we need a lot of oxygen so the brain raises our breathing and heart rate.","Nasze serce i płuca nie pracują w sposób przypadkowy. Ich funkcjonowanie reguluje pień mózgu, który w miarę potrzeby spowalnia je lub przyspiesza. Na przykład gdy biegniemy, potrzebujemy dużo tlenu, więc mózg zwiększa tempo oddechu i bicia serca."
conscious_state_title,Conscious State,Stan świadomości
conscious_state_body,"Different areas in the brain work differently when we are awake and when we are sleeping, and a change in their activity can cause us to fall asleep or to wake up. In some cases of disorders of consciousness, such as a coma or vegetative state, these areas are damaged.","Różne ośrodki w mózgu pracują inaczej, gdy czuwamy, a inaczej, gdy śpimy. Zmiany w ich aktywności powodują, że zasypiamy lub budzimy się. W przypadku niektórych zaburzeń świadomości, takich jak śpiączka czy stan wegetatywny, dochodzi do uszkodzenia tych ośrodków."
cortex_title,The Cortex,Kora
frontal_lobe_title,Frontal Lobe,Płat czołowy
frontal_lobe_body,"Located at the front of the brain, this is the largest of the four lobes. The areas within it are responsible for many functions: the Motor Cortex is responsible for movement; Broca’s Area is responsible for language production; and the Prefrontal Cortex plays an important role in higher brain functions such as strategic thinking and decision making.","Znajdujący się w przedniej części mózgu płat czołowy jest największym spośród czterech płatów. Ośrodki w nim zlokalizowane odpowiadają za wiele funkcji: kora ruchowa odpowiada za ruch, ośrodek Broki odpowiada za mowę, zaś kora przedczołowa jest ważna dla wyższych funkcji mózgu, takich jak myślenie strategiczne i podejmowanie decyzji."
motor_cortex_title,Primary Motor Cortex,Pierwotna kora ruchowa
