Key,AtlasText_english.json,AtlasText_hebrew.json,AtlasText_arabic.json
text_anchor,left,right,right
display_language,English,עברית,عربية
brain_regions,Brain Regions,אזורים במוח,مناطق الدماغ
brain_functions,Brain Functions,תפקודים של המוח,وظائف الدماغ
visual_perception_title,Vision,ראייה,نظر
visual_perception_body,"The first areas to receive information from the eyes process basic characteristics such as the orientation of the objects we see. More advanced areas process color and motion, and interpret exactly what we are seeing and how this information can be used.","האזורים הראשונים שמקבלים מידע מהעיניים מעבּדים מאפיינים בסיסיים כמו כיווּניוּת האובייקטים שאנו רואים. אזורים מתקדמים יותר מעבּדים צבע ותנועה, ומסיקים מה בדיוק אנו רואים ואיך אפשר להשתמש בזה.",تتميز المناطق الأولى الّتي تتلقى معلومات من العيون بخصائص أساسية مثل اتجاه الأغراض الّتي نراها. المناطق الأكثر تقدمًا تعالج الألوان والحركة، واستنتاج ما نراه بالضبط وكيف يمكننا استخدامه.
auditory_perception_title,Hearing,שמיעה,سمع
auditory_perception_body,"When we process the sound waves that reach the brain from the ear we understand the sound’s basic characteristics such as frequency and strength. Moreover, we process also more advanced aspects such as location in the sphere in which we heard it, and its meaning: Is someone speaking to me? Is it music?","בתהליך עיבוד גלֵי הקול המגיעים מהאוזן למוח אנו מבינים מהם המאפיינים הבסיסיים של הקול כמו הגובה והעוצמה שלו, אבל גם דברים מתקדמים יותר כמו המיקום במרחב ממנו שמענו אותו, ומה המשמעות של הצלילים: האם מישהו מדבר אליי? האם זו מוזיקה?",في عملية معالجة الموجات الصوتية القادمة من الأذن إلى الدماغ، نفهم الخصائص الأساسية للصوت، مثل إرتفاعه وشّدته، لكن أيضًا الأشياء الأكثر تقدمًا مثل الموقع في الفراغ الذي سمعنا منه وما هو معنى الأصوات: هل يتحدث أحدهم معي؟  هل هذه موسيقى؟
somatosensory_perception_title,Touch,מגע,لمس
somatosensory_perception_body,"All our tactile receptors – vibration, pain, temperature sensing, and even self-sensing (knowing where my hands are without looking) – reach the brain from receptors spread throughout the body.","כלל תחושות המגע שלנו: רֶטֶט, כְּאֵב, חִישַׁת טמפרטורה ואפילו חישת העצמי (הידיעה היכן נמצאות הידיים שלכם גם בלי שתסתכלו עליהן) מגיעות למוח מקולטנים הפזורים בכל הגוף.",إن كل مشاعر اللمس لدينا: الاهتزاز، الألم، استشعار درجة الحرارة وحتى الشعور بالنفس (معرفة مكان أيديكم دون أن تنظروا إليها) تصل إلى الدماغ من المُستقبلات المنتشرة في جميع أنحاء الجسم.
taste_perception_title,Taste,טעם,طعم
taste_perception_body,"Our tongue can differentiate between five tastes: sweet, salty, sour, bitter, and umami, as well as the extent of spiciness. The remaining perception of taste is determined by the sense of smell (which is why food doesn’t taste as good when your nose is stuffed). This information is transmitted to the brain which processes the taste’s meaning. Different areas of the brain are activated in response to pleasant or unpleasant tastes.","הלשון שלנו מבדילה בין חמישה טעמים: מתוק, מלוח, מר, חמוץ ואוּמָמִי, וכן במידת החריפוּת. לשאר תחושת הטעם אחראי חוש הריח (ולכן האוכל מרגיש פחות טעים כשהאף סתום). המידע הזה עובר למוח שמעבּד את משמעות הטעם. כך למשל, אזורים שונים במוח פעילים בתגובה לאוכל טעים ולאוכל לא טעים.",يميز لساننا بين النكهات الخمسة: حلو، مالح، مر، حامض و-أومامي وكذلك درجة الحار. ما تبقى من حاسة الذوق هو المسؤول عن حاسة الشم (وبالتالي فإن الطعام يكون أقل لذة عند انسداد الأنف). هذه المعلومات تنتقل إلى الدماغ الذي يعالج معنى الذوق. على سبيل المثال، تنشط مناطق مختلفة من الدماغ استجابة للطعام اللذيذ والطعام الغير لذيذ.
olfactory_perception_title,Smell,ריח,شم
olfactory_perception_body,"The nose contains over one thousand (!) different types of receptors, discerning the different molecules that enter it. This information is transferred to the brain which generates the perception and significance of the smell. For example, different areas are activated in response to pleasant or unpleasant smells.","יותר מֵאֶלֶף (!) סוגים שונים של קולטנים נמצאים בתוך האף וחשׁים את החומרים השונים שנכנסים אליו. המידע הזה עובר למוח שיוצר את תחושת הריח ואת משמעותו. כך למשל, אזורים שונים פעילים בתגובה לריח נעים ובתגובה לריח דוחה. ",هناك أكثر من ألف(!) نوع مختلف من المُستقبلات في الأنف وتشعر بالمواد المختلفة الّتي تدخله. تنتقل هذه المعلومات إلى الدماغ الذي يخلق حاسة الشم ومعناها. على سبيل المثال، تنشط مناطق مختلفة من الدماغ استجابةً للرائحة اللطيفة واستجابة للرائحة الكريهة.
motion_title,Movement,תנועה,حركة
motion_body,"When you raise your hand, it's the brain that sends a command to your hand to move. Every movement involves many areas of the brain in planning, precision, timing, and the ability to carry out the correct movement for each purpose, even without paying much attention to it.","כשאתם מרימים את היד, המוח הוא ששולח פקודה להזיז אותה. בכל תנועה מעורבים הרבה אזורים במוח שאחראים על התכנון, הדיוק, הַתִּזְמוּן והיכולת לבצע את התנועה הנכונה לכל מטרה, גם בלי שנקדיש לכך תשומת לב רבָּה.",عندما نرفع اليد، يرسل الدماغ أمرًا لتحريكها. تتضمن كل حركة العديد من مناطق الدماغ المسؤولة عن التخطيط والدقة والتوقيت والقدرة على أداء الحركة الصحيحة لأيّ غرض من الأغراض حتى دون إيلاء الكثير من الاهتمام لها.
language_title,Language,שפה,لغة
language_body,"Language is the primary way we communicate with each other. For most of us, the language areas lie mainly on the left side of the brain. Certain areas are responsible for language comprehension, and language production and understanding syntax.","השפה היא הדרך העיקרית שבאמצעותה אנו מְתַקְשְׁרִים אחד עם השני. אצל רובנו אזורי השפה נמצאים בעיקר בצד שמאל של המוח, כאשר אזורים שונים אחראים על הבנת שפה ועל הבעת שפה והבנת תחביר.",اللغة هي الطريقة الرئيسية الّتي نتواصل بها مع بعضنا البعض. بالنسبة لمعظمنا، تقع المناطق اللغوية بشكلٍ أساسي على الجانب الأيسر من الدماغ، مع وجود مناطق مختلفة مسؤولة عن فهم اللغة والتعبير عن اللغة وفهم بناء الجملة.
emotions_title,Emotions,רגשות,عواطف
emotions_body,"We still don’t fully understand how emotions are reflected in the brain. However, quite a few areas in the brain have been found to be important for processing emotions. Studying these areas helps piece the puzzle together.","עדיין איננו מבינים לעומק כיצד רגשות מתבטאים במוח שלנו. עם זה, לא מעט אזורים במוח התגלו כחשובים לעיבוד רגשות, ומחקר שלהם עוזר להרכיב את הפאזל.",نحن لا نفهم بعد تمامًا كيف يتم التعبير عن المشاعر في دماغنا. مع ذلك، تم العثور على عدد لا بأس به من المناطق في الدماغ المهمة لمعالجة المشاعر، وتساعد أبحاثها على تجميع اللغز.
consolidation_of_new_memories_title,Consolidation of New Memories,שמירת זיכרונות חדשים,حفظ ذكريات جديدة
consolidation_of_new_memories_body,"We are constantly exposed to a lot of information, but we forget most of it quickly and retain only a small amount. The brain, especially the Hippocampus, decides whether each new item is important and should be retained in the memory, or whether it can be forgotten.","אנו נחשפים כל הזמן להרבה מאוד מידע, אבל את רובו אנו שוכחים מהר ורק חלק קטן ממנו נשמר בזיכרון שלנו. המוח, ובפרט ההיפוֹקמפוֹס, מחליט עבור כל פריט מידע חדש אם חשוב לשמור אותו בזיכרון, או שאפשר לשכוח אותו.",نتعرض باستمرار لكثير من المعلومات، لكن معظمها ننساها بسرعة ولا يتم الاحتفاظ إلا بجزء صغير منها في ذاكرتنا. الدماغ، وخاصةً الحصين يقرر ما إذا كانت المعلومات الجديدة جديرة بالإحتفاظ بها في الذاكرة أم نسيانها.
working_memory_title,Working Memory,זיכרון עבודה,ذاكرة العمل
