Key,en,pl
RN_OPENING_SCREEN_HEADER,Neuron Under Construction,Neuron w budowie
RN_OPENING_SCREEN_SUB_HEADER,You are invited to reconstruct your own neuron,Zapraszamy do rekonstrukcji własnego neuronu
RN_OPENING_SCREEN_BUTTON_TEXT,Start,Start
RN_CHOOSE_NEURON_INSTRUCTION,Select a neuron and reconstruct it as an active 3D model,Wybierz neuron i zrekonstruuj go jako aktywny model 3D
RN_CHOOSE_NEURON_SELECT_BUTTON_TEXT,Select,Wybierz
RN_CHOOSE_NEURON_PYRAMIDAL_NAME,Pyramidal Cell,Komórka piramidalna
RN_CHOOSE_NEURON_BASKET_NAME,Basket Cell,Komórka koszykowa
RN_CHOOSE_NEURON_MARTINOTTI_NAME,Martinotti Cell,Komórka Martinottiego
RN_CHOOSE_NEURON_PYRAMIDAL_DESC,"Named after the pyramid shape of its body,
the most common cell type in the cerebral
cortex. The cell increases the activity of the
cells it communicates with (Excitatory cell).","Jej nazwa pochodzi od piramidalnego kształtu. Jest najpowszechniej występującym typem komórki w korze mózgowej. Komórka ta zwiększa aktywność komórek, z którymi się komunikuje (komórka pobudzająca)."
RN_CHOOSE_NEURON_BASKET_DESC,"Surrounds like a basket the body of the cells it
communicates with and decreases their activity.
(Inhibitory cell).","Niczym koszyk otacza komórki, z którymi się komunikuje, obniżając ich aktywność (komórka hamująca)."
RN_CHOOSE_NEURON_MARTINOTTI_DESC,"A small cell with short branches. Named
after the scientist who discovered it. The
cell decreases the activity of the cells it
communicates with (Inhibitory cell).","Niewielka komórka z krótkimi wypustkami. Nazwana nazwiskiem swojego odkrywcy. Komórka ta obniża aktywność komórek, z którymi się komunikuje (komórka hamująca)."
RN_DRAWING_SCREEN_NEURON_INSTRUCTION,Follow the dotted line with your finger to reconstruct the neuron,"Prześledź palcem kropkowaną linię, aby zrekonstruować neuron."
RN_DRAWING_SCREEN_LIGHTNING_INSTRUCTION,"Great, you reconstructed a 3D model of the cell structure.
Press on the lightning and activate the cell","Brawo! Zrekonstruowałeś trójwymiarowy model budowy komórki. Naciśnij symbol błyskawicy, by aktywować komórkę."
